序号,综合评价,排名
2653,0.5429,439
2858,0.5428,440
4504,0.5423,441
584,0.5423,442
5236,0.5422,443
849,0.5420,444
315,0.5415,445
2815,0.5413,446
5193,0.5412,447
2967,0.5410,448
4413,0.5409,449
1162,0.5404,450
2965,0.5392,451
2630,0.5389,452
3093,0.5383,453
5392,0.5382,454
828,0.5382,455
3709,0.5382,456
5210,0.5375,457
813,0.5373,458
5187,0.5368,459
5280,0.5367,460
4186,0.5360,461
2775,0.5356,462
4964,0.5347,463
2659,0.5347,464
157,0.5345,465
3058,0.5345,466
5069,0.5344,467
1613,0.5344,468
2169,0.5338,469
3895,0.5333,470
1436,0.5333,471
2171,0.5330,472
2181,0.5330,473
4957,0.5326,474
1209,0.5326,475
4546,0.5323,476
2471,0.5322,477
2127,0.5322,478
616,0.5320,479
4742,0.5319,480
4415,0.5317,481
5098,0.5316,482
1362,0.5314,483
3305,0.5313,484
2837,0.5312,485
1043,0.5308,486
392,0.5305,487
5186,0.5302,488
5390,0.5298,489
2626,0.5297,490
119,0.5295,491
2178,0.5294,492
4414,0.5293,493
227,0.5292,494
4548,0.5290,495
485,0.5289,496
2376,0.5289,497
1911,0.5289,498
3703,0.5285,499
878,0.5284,500
3882,0.5279,501
4525,0.5279,502
1137,0.5277,503
2645,0.5264,504
3829,0.5263,505
3733,0.5261,506
2327,0.5257,507
199,0.5254,508
2436,0.5253,509
2822,0.5246,510
4358,0.5245,511
4562,0.5235,512
3005,0.5232,513
2463,0.5232,514
1514,0.5232,515
1070,0.5228,516
837,0.5227,517
1919,0.5224,518
2643,0.5221,519
4313,0.5215,520
2917,0.5213,521
265,0.5213,522
591,0.5213,523
5096,0.5208,524
786,0.5205,525
3125,0.5204,526
102,0.5204,527
171,0.5203,528
2842,0.5203,529
1921,0.5202,530
3742,0.5196,531
2911,0.5193,532
4231,0.5191,533
2514,0.5187,534
2195,0.5185,535
789,0.5184,536
4320,0.5184,537
1259,0.5183,538
5118,0.5182,539
362,0.5182,540
2707,0.5179,541
2879,0.5174,542
2588,0.5172,543
5001,0.5172,544
1942,0.5166,545
4556,0.5165,546
4623,0.5164,547
3512,0.5164,548
2143,0.5160,549
2918,0.5160,550
478,0.5159,551
4004,0.5159,552
4592,0.5154,553
3357,0.5148,554
732,0.5147,555
2285,0.5142,556
4762,0.5139,557
1923,0.5139,558
3723,0.5138,559
3163,0.5133,560
4460,0.5132,561
2553,0.5124,562
5281,0.5120,563
1098,0.5119,564
2957,0.5114,565
3183,0.5112,566
5232,0.5111,567
2123,0.5108,568
75,0.5106,569
97,0.5106,570
2088,0.5105,571
3664,0.5104,572
2575,0.5102,573
3204,0.5100,574
3438,0.5095,575
4732,0.5093,576
3960,0.5093,577
3056,0.5085,578
5107,0.5085,579
2483,0.5083,580
3548,0.5079,581
4476,0.5078,582
2618,0.5075,583
4969,0.5074,584
499,0.5073,585
777,0.5073,586
3156,0.5071,587
2520,0.5071,588
4171,0.5070,589
5008,0.5070,590
2213,0.5070,591
4693,0.5068,592
4392,0.5068,593
4160,0.5063,594
3207,0.5061,595
2854,0.5060,596
744,0.5058,597
2563,0.5054,598
2619,0.5051,599
4816,0.5050,600
4868,0.5047,601
44,0.5047,602
355,0.5044,603
2247,0.5042,604
3857,0.5042,605
4748,0.5042,606
183,0.5038,607
2215,0.5038,608
2459,0.5037,609
1987,0.5036,610
4703,0.5031,611
4595,0.5029,612
434,0.5026,613
933,0.5022,614
1417,0.5020,615
5363,0.5018,616
2493,0.5012,617
1963,0.5012,618
3717,0.5011,619
830,0.5010,620
640,0.5010,621
3482,0.5007,622
5350,0.4999,623
4500,0.4999,624
4249,0.4998,625
224,0.4998,626
2362,0.4998,627
845,0.4996,628
2651,0.4995,629
951,0.4992,630
2701,0.4990,631
2625,0.4985,632
114,0.4983,633
1294,0.4983,634
1075,0.4981,635
254,0.4979,636
620,0.4979,637
808,0.4977,638
3090,0.4976,639
2673,0.4975,640
4676,0.4974,641
2120,0.4973,642
2268,0.4972,643
364,0.4972,644
1875,0.4968,645
4360,0.4968,646
43,0.4966,647
2620,0.4960,648
4219,0.4959,649
2408,0.4958,650
4139,0.4957,651
4513,0.4955,652
462,0.4955,653
5369,0.4952,654
1616,0.4951,655
1889,0.4951,656
2508,0.4951,657
4865,0.4950,658
2735,0.4949,659
4835,0.4945,660
785,0.4943,661
4362,0.4942,662
1714,0.4941,663
2752,0.4941,664
596,0.4938,665
